**** BEGIN LOGGING AT Tue Oct 18 17:58:07 2016

Th10 18 17:58:12 <jamielennox>	yum would be python-keystoneauth 
Th11 07 18:11:41 <openstackgerrit>	Alistair Coles proposed openstack/swift: Unset random seed after rebalancing ring  https://review.openstack.org/371564
Th11 07 19:54:43 <timss>	Hi. Does the containers/objects created with swift-dispersion-populate use any significant amount of disk space? Is the dispersion_coverage just about partition coverage, or can it grow out of control if there's many partitions?
Th11 07 20:11:02 *	amoralej is now known as amoralej|lunch
Th11 07 20:53:53 *	amoralej|lunch is now known as amoralej
Th11 07 21:19:24 *	tesseract is now known as Guest41117
Th11 07 22:16:55 <openstackgerrit>	Mathias Bjoerkqvist proposed openstack/swift: WIP: Storing encryption root secret in Barbican  https://review.openstack.org/364878
Th11 07 22:24:17 <openstackgerrit>	Nandini Tata proposed openstack/swift: Allow custom swift configuration directory  https://review.openstack.org/393952
Th11 07 22:35:28 <tdasilva>	do we have documented anywhere all the environment variables that could be set for swift and swift dev?
Th11 07 22:35:59 <tdasilva>	ntata: ^ maybe you know this...
Th11 07 22:42:48 *	raginbaj- is now known as raginbajin
Th11 07 22:46:09 <openstackgerrit>	Merged openstack/swift: update urls to newton  https://review.openstack.org/388196
Th11 07 23:46:59 <ntata>	tdasilva, good question. Well, I couldn't find anything that talks about all the possible environment variables at a single place
Th11 07 23:52:12 <tdasilva>	ntata: yeah, i was just wondering, it would probably be helpful to do that at some point
Th11 07 23:55:32 <ntata>	tdasilva, agree, I can pool them together (to deployment guide maybe?) unless you're planning to..
Th11 08 00:05:18 <tdasilva>	ntata: feel free to go ahead
Th11 08 00:21:55 <notmyname>	good morning
Th11 08 00:22:23 <notmyname>	well this is interesting http://lists.openstack.org/pipermail/openstack-dev/2016-November/106877.html
Th11 08 00:22:31 <notmyname>	I haven't read the referenced blog post yet
Th11 08 00:23:24 <clayg>	yay mondays!
Th11 08 00:30:37 *	amoralej is now known as amoralej|off
Th11 08 00:34:35 <notmyname>	well, while I'm piling on the mondays, there's this too https://review.openstack.org/#/c/365590/
Th11 08 00:34:36 <patchbot>	patch 365590 - governance - Add "Assume Good Faith" to OpenStack principles
Th11 08 00:43:44 <openstackgerrit>	Donagh McCabe proposed openstack/swift: Document access control lists (ACLs)  https://review.openstack.org/374215
Th11 08 00:46:06 <tdasilva>	notmyname: i read the blog post and i think it seems sensible, i couldn't point out anything that's necessary wrong the the ideas (principles), just not sure I agree with some of the specifics...
Th11 08 00:47:17 <notmyname>	tdasilva: yeah, the "team asking for golang must first create goslo.{config,messaging,db} and auth" seems ... well, I'm not sure what ;-)
Th11 08 00:48:34 <tdasilva>	notmyname: yeah, i think asking 'us' to help contribute to common code is sensible, defining what that common code is will be the challenge
Th11 08 00:49:29 <notmyname>	tdasilva: in our specific case, most of those don't make sense. config might, but the requirement (no different in python) is that existing configs must continue to work
Th11 08 00:50:04 <tdasilva>	notmyname: agree...honestly, top of my head i can only think of config and logging which is not even on his list
Th11 08 00:51:16 <tdasilva>	i'm not sure authentication makes sense at the moment as we are not proposing changes to user facing services, but maybe other services have authentication in the backend services??? i have no idea
Th11 08 00:51:35 <notmyname>	could be. same with db and messaging, too
Th11 08 00:52:17 <openstackgerrit>	Christian Hugo proposed openstack/swift: Use direct_get_suffix_hashes in the reconstructor  https://review.openstack.org/394551
Th11 08 01:35:00 <clayg>	i can't get half way through a sentence without having to delete it - and I'm normally pretty lippy
Th11 08 01:36:01 <openstackgerrit>	Merged openstack/swift: Fix signal handling for daemons with InternalClient  https://review.openstack.org/259347
Th11 08 01:46:40 <openstackgerrit>	Christian Hugo proposed openstack/swift: object-replicator cleanup  https://review.openstack.org/391617
Th11 08 01:46:41 <openstackgerrit>	Christian Hugo proposed openstack/swift: Use direct_get_suffix_hashes in the reconstructor  https://review.openstack.org/394551
Th11 08 01:48:17 <openstackgerrit>	OpenStack Proposal Bot proposed openstack/swift: Updated from global requirements  https://review.openstack.org/88736
Th11 08 02:23:12 <openstackgerrit>	Christian Hugo proposed openstack/swift: Use direct_get_suffix_hashes in the reconstructor  https://review.openstack.org/394551
Th11 08 02:32:06 <clayg>	jrichli: nice response on lp bug #1319096
Th11 08 02:32:07 <openstack>	Launchpad bug 1319096 in OpenStack Object Storage (swift) "Include object metadata in container list" [Undecided,In progress] https://launchpad.net/bugs/1319096
Th11 08 02:33:48 <jrichli>	clayg: I looked for a nick that might match Christian Hugo to see if we could chat here, but no luck.
Th11 08 02:34:14 <jrichli>	I see he has uploaded a few different patches lately
Th11 08 02:36:17 <clayg>	jrichli: yeah!  would love to see him get more engaged!  ... see if there's anything we can do to help/support?
Th11 08 02:36:23 <openstackgerrit>	Ondřej Nový proposed openstack/swift: object-replicator cleanup  https://review.openstack.org/391617
Th11 08 02:50:08 *	acoles is now known as acoles_
Th11 08 02:53:07 <notmyname>	fungi: torgomatic: tdasilva: patch 394600 and patch 394601 set up a testing environment that allows for checking xattrs in swift's tests, thus enabling patch 336323 to land (I think)
Th11 08 02:53:08 <patchbot>	https://review.openstack.org/#/c/394600/ - openstack-infra/project-config - enable xfs for swift in-process functests
Th11 08 02:53:09 <patchbot>	https://review.openstack.org/#/c/394601/ - openstack-infra/project-config - add python-jobs-with-xfs for swift
Th11 08 02:53:10 <patchbot>	https://review.openstack.org/#/c/336323/ - swift - Add checksum to object extended attributes
Th11 08 02:53:24 <notmyname>	fungi: I'd definitely appreciate your insight on the 2 infra patches
Th11 08 02:53:50 <notmyname>	I spearated them to make it more clear about the 2 things I'm doing, but i'm happy to combine if that's what you'd prefer
Th11 08 02:53:51 <fungi>	notmyname: yep, saw 394601 and its parent scroll by in the infra channel and already have them pulled up
Th11 08 02:53:58 <notmyname>	thanks :-)
Th11 08 02:54:06 <fungi>	i'll look closer once the jobs report back on them in a few minutes
Th11 08 03:03:28 <clayg>	timburke: I'm on vbox -> 5.0.14r105127 and vagrant -> 1.8.4.1
Th11 08 03:04:06 <clayg>	obvs no problems mounting file systems - could totally be a guest agent thing tho - i'd be happy to upgrade if you're on newer-er versions and see i can duplicate your pain
Th11 08 03:04:55 <timburke>	clayg: hmm... i *am* on newer, though when i first hit trouble, i was on older (at least for vbox)
Th11 08 03:05:19 <timburke>	currently on 5.0.28 & 1.8.5.3
Th11 08 03:05:43 <timburke>	but the USERNAME tip got me off & running on trusty, so w/e
Th11 08 03:09:07 <notmyname>	fungi: ah, I'm guessing the errors are from the consolidation I did to https://github.com/openstack-infra/project-config/blob/master/jenkins/jobs/projects.yaml#L14043-L14055
Th11 08 03:09:09 <clayg>	timburke: but xenial is *so* much better!
Th11 08 03:09:39 <notmyname>	fungi: I don't see why those need to be different sections (one with trusty+xenial and one with just xenial).
Th11 08 03:10:21 <notmyname>	fungi: from git history, it seems that they got split as part of some trusty->xenial migration in infra. certainly not intended to only work in one or the other from the swift perspective
Th11 08 03:10:35 <timburke>	clayg: eh, may as well be on a platform that my customers might actually be using
Th11 08 03:10:37 <timburke>	(i should really look into adding centos support for vsaio...)
Th11 08 03:12:02 <notmyname>	fungi: but I'll admit to not really understanding all the layout. fwiw, the error is at http://logs.openstack.org/00/394600/1/check/gate-project-config-layout/65bcf33/console.html#_2016-11-07_19_57_01_190485
Th11 08 03:12:39 <notmyname>	oh! because layout.yaml doesn't reference the new name! (I think)
Th11 08 03:15:34 <fungi>	notmyname: sorry, had to step afk for a moment but i'm taking a look now
Th11 08 03:17:25 <clayg>	timburke: yes
Th11 08 03:17:42 <clayg>	timburke: however, there was *some* reason I needed to move to xenial?  some skip tests if you have an old kernel maybe?
Th11 08 03:18:07 <notmyname>	fungi: pushed new revisions
Th11 08 03:18:19 <clayg>	timburke: I think it was honestly because the haproxy that comes with precise can't do ssl termination and I wanted to play with the proxy protocol stuff for the ip address handling patch/story?
Th11 08 03:18:22 <fungi>	notmyname: the error i see there is "jenkins_jobs.errors.JenkinsJobsException: Duplicate definitions for job 'swift-branch-tarball' specified" which i think is because you have the python-jobs and python-jobs-with-xfs-tmp job-groups instantiated on swift in jenkins/jobs/projects.yaml, and each of those job groups defines some of the same jobs
Th11 08 03:18:50 <notmyname>	fungi: oh? can't reference the same job names in 2 different job groups?
Th11 08 03:19:06 <fungi>	notmyname: if the plan is to use both those job-groups together, you probably just need to have gate-{name}-python27-xfs-tmp-{node} and gate-{name}-python34-xfs-tmp in the python-jobs-with-xfs-tmp group
Th11 08 03:19:15 <timburke>	dammit! that was on my shortlist of things to go +A, just as soon as i could get around to func testing it...
Th11 08 03:20:00 <notmyname>	fungi: that doesn't seem to align with python-db-jobs
Th11 08 03:20:23 <fungi>	notmyname: yeah, in this case it's that jjb isn't smart enough to know that you're instantiating, say, {name}-branch-tarball twice with the same set of parameters (if it were smarter it might learn to dedupe those). instead it worries that you're instantiating templates that result in jobs with identical names (which as far as it knows might be different jobs)
Th11 08 03:20:24 <notmyname>	fungi: ...which seems to be a copy of python-jobs but with a couple of names changed
Th11 08 03:20:36 <clayg>	timburke: you're going to need xenial
Th11 08 03:20:55 <clayg>	:P
Th11 08 03:21:17 <notmyname>	fungi: oh, do you prefer these to be one commit or the 2 separate ones I've proposeD?
Th11 08 03:21:24 <clayg>	oh... wait - were you talking about the proxy protocl patch or the other xfs-gate thing
Th11 08 03:22:04 <timburke>	clayg: the PROXY proto patch
Th11 08 03:22:31 <clayg>	timburke: ah
Th11 08 03:23:11 <fungi>	notmyname: right, the projects which use the python-db-jobs group don't use the normal python-jobs group. honestly that's probably an oversight and they should use both but factor out the jobs common between them (so that nova can't accidentally make it impossible to run their tox env without mysql and postgres both installed)
Th11 08 03:23:12 <fungi>	i'll write that up as a separate change
Th11 08 03:24:17 <notmyname>	fungi: TBH, I'd be totally ok with not running the normal python-jobs group and running this one instead, but I've been given the impression that wouldn't fly with the TC and the common testing interface (or "swift being different")
Th11 08 03:25:08 <fungi>	notmyname: yep, i'm writing this one up for parity with the swift change. either they're both needed or neither is but i definitely want a level playing field here whichever way things go
Th11 08 03:25:41 <notmyname>	fungi: ok. I'll change mine to just have the two xfs jobs in the -with-xfs-tmp group
Th11 08 03:26:01 <notmyname>	fungi: but do you want me to keep my 2 patches or squash them together?
Th11 08 03:27:43 <openstackgerrit>	Tim Burke proposed openstack/swift: Always set swift processes to use UTC  https://review.openstack.org/331369
Th11 08 03:28:08 <fungi>	notmyname: i'm not opposed to keeping them separate changes. probably slightly easier to review this way
Th11 08 03:28:55 <fungi>	i see 394600 failed (different) tests. i was looking at the error on 394601
Th11 08 03:30:30 <fungi>	and yeah, it looks like the job failure on 394600 is due to needing to also update the gate-swift-tox-bandit-ubuntu-(trusty|xenial) regex in zuul/layout.yaml
Th11 08 03:32:14 <notmyname>	fungi: ok, thanks. new version pushed
Th11 08 03:41:37 <mattoliverau>	Morning
Th11 08 03:48:14 <fungi>	notmyname: for reference, here's my first attempt at the strawman for making sure all projects using custom db setup in unit tests are also tested without: https://review.openstack.org/394620
Th11 08 03:48:15 <patchbot>	patch 394620 - openstack-infra/project-config - Make sure opportunistic DB use in unit tests works
Th11 08 03:48:37 <fungi>	i agree that's basically the same case as expecting someone to make an xfs filesystem available when running unit tests
Th11 08 03:58:12 <fungi>	notmyname: it still doesn't look like 394600 patchset 3 updated the gate-swift-tox-bandit-ubuntu-(trusty|xenial) regex in zuul/layout.yaml
Th11 08 04:12:30 <jrichli>	timburke: I just glanced at patch 331369 and am wondering what the impacts are.  Is this change visible to the user?
Th11 08 04:12:32 <patchbot>	https://review.openstack.org/#/c/331369/ - swift - Always set swift processes to use UTC
Th11 08 04:19:05 *	jamielennox is now known as jamielennox|away
Th11 08 04:24:23 <abalfour>	So... I could use some advice. It appers that the swift ring files are architecture dependent. I.e. if you use swift-ring-builder to create a ring file on an little endian machine, and then copy that ring file to a big endian machine, you're going to have a bad time. For example: http://paste.openstack.org/show/588317/
Th11 08 04:26:03 <abalfour>	The obvious problem being on the endianess the file wasn't built on, the device index of 256 isn't going to work for indexing into the r2p2d array... Should we be creating the ring files locally on each architecture, or should the file format be endinan agnostic?
Th11 08 04:48:50 <pdardeau>	abalfour: ouch! i don't have a BE environment to verify, but you might try hacking https://github.com/openstack/swift/blob/master/swift/common/ring/ring.py#L76
Th11 08 04:49:11 <pdardeau>	maybe change 'H' to '!H'
Th11 08 04:49:51 <pdardeau>	abalfour: it's possible it might be written to file ok, and then converted improperly on BE load
Th11 08 04:52:19 <dfisher>	abalfour had to step away.  here's another possible solution http://paste.openstack.org/show/588319/
Th11 08 04:53:12 <clayg>	abalfour: I did not know that!
Th11 08 04:53:18 <dfisher>	i don't really grok array/struct python objects to comment on 'H' vs '!H'
Th11 08 04:53:21 <notmyname>	interesting
Th11 08 04:53:50 <pdardeau>	dfisher: https://docs.python.org/2/library/struct.html#byte-order-size-and-alignment
Th11 08 04:54:05 <timburke>	jrichli: ideally, not really. the trouble i was running into was that some middleware would try to parse some user-provided timestamp with our stdlib in a crazy split-brain, so the result would be hours off. this lead to some authz errors in swift3 (which i suppose is user-visible), but to my knowledge we always report timestamps in UTC anyway
Th11 08 04:54:25 <clayg>	can i make a vm with backwards default platform bits?  and why would python even allow me to serialize in a platform dependent way.
Th11 08 04:54:26 <pdardeau>	the table in 7.3.2.1 shows the architecture specific modifiers
Th11 08 04:54:50 <pdardeau>	and table in 7.3.2.2 shows data types
Th11 08 04:54:57 <clayg>	that's so annoying
Th11 08 04:55:06 <notmyname>	fungi: thanks. back from lunch, and I'm looking now
Th11 08 04:56:08 <dfisher>	well, i can certainly try to hammer the '!H' in and see what happens
Th11 08 04:58:18 <timburke>	huh. i find it a little disconcerting that there's no reference to endianness in https://docs.python.org/2/library/array.html
Th11 08 04:59:25 <timburke>	for that matter, "!H" isn't referenced either :-(
Th11 08 05:02:34 *	jamielennox|away is now known as jamielennox
Th11 08 05:04:21 <jrichli>	timburke: re: timestamps - which user-provided timestamp?  i guess that it wasn't a Unix Epoch timestamp?
Th11 08 05:06:37 <timburke>	jrichli: peak at the... third related change. we were parsing a user-provided header (either x-amz-date or, if that wasn't present, Date)
Th11 08 05:06:57 <jrichli>	ok, thx
Th11 08 05:12:33 <pdardeau>	timburke: dfisher: and just because '!H' works for struct packing/unpacking doesn't mean it's valid for array :/
Th11 08 05:12:53 <dfisher>	still poking at it.  results in a sec...
Th11 08 05:12:56 <notmyname>	fungi: https://review.openstack.org/#/c/394600/ and https://review.openstack.org/#/c/394601/ have passed the checks!
Th11 08 05:12:57 <patchbot>	patch 394600 - openstack-infra/project-config - enable xfs for swift in-process functests
Th11 08 05:12:58 <patchbot>	patch 394601 - openstack-infra/project-config - add python-jobs-with-xfs for swift
Th11 08 05:17:41 <notmyname>	fungi: is there any way to run swift through those without having them land in infra first?
Th11 08 05:28:47 <timburke>	hmm. i guess we need to make a call to byteswap()? looks like array.array wants a character, not a string
Th11 08 05:31:06 <dfisher>	yeah, changing to !H didn't seem to make a difference
Th11 08 05:31:38 <dfisher>	sparc:   'replica2part2dev_id': [array('H', [0, 0, 256, 256, 0, 256,
Th11 08 05:31:38 <dfisher>	x86:  'replica2part2dev_id': [array('H', [0, 0, 1, 1, 0, 1, 1, 0,
Th11 08 05:31:38 <patchbot>	Error: Missing "]".  You may want to quote your arguments with double quotes in order to prevent extra brackets from being evaluated as nested commands.
Th11 08 05:31:39 <patchbot>	Error: Missing "]".  You may want to quote your arguments with double quotes in order to prevent extra brackets from being evaluated as nested commands.
Th11 08 05:31:47 <dfisher>	^ ha
Th11 08 05:32:17 <notmyname>	dfisher: someday I'll rewrite patchbot to be smarter
Th11 08 05:32:49 <dfisher>	seems pretty smart to me.
Th11 08 05:32:54 <dfisher>	smarter than I am, anyway :)
Th11 08 05:33:17 <jrichli>	por patchbot gets no luv :-( 
Th11 08 05:35:48 <dfisher>	timburke: my paste.openstack.org has the byteswap() patch in it.  http://paste.openstack.org/show/588319/
Th11 08 05:36:08 <pdardeau>	&patchbot-not-so-fussy; don't freak out about my non-matching [
Th11 08 05:36:09 <patchbot>	Error: Missing "]".  You may want to quote your arguments with double quotes in order to prevent extra brackets from being evaluated as nested commands.
Th11 08 05:40:15 <fungi>	notmyname: you could run the script from mount-tmp-with-xfs before running `tox -e py27`
Th11 08 05:40:33 <torgomatic>	notmyname: what if you made the xattrs patch depend on those infra ones? I'm totally guessing here; I have no idea how any of that works.
Th11 08 05:41:08 <torgomatic>	I mean, I know some things... but "will a pending job-specifier patch get used if it's a dependency of a Swift patch" is not anywhere in there
Th11 08 05:41:26 <fungi>	notmyname: my main concern with this is that if our underlying job infrastructure relies on files places in /tmp prior to starting the job payload, it could get confused once it can no longer find them later. i'll try to find out if that will pose a problem
Th11 08 05:42:01 <notmyname>	fungi: yeah, that seems like a totally reasonable concern. TBH I was a little surprised linux let me do it :-)
Th11 08 05:51:19 <clayg>	timburke: wow so https://github.com/eventlet/eventlet/pull/354 is acctaully pretty epic
Th11 08 05:52:57 <timburke>	was it? idk. i had a much worse time with that UTC/stdlib-doesn't-know-what-timezone-it's-in thing
Th11 08 05:53:14 <clayg>	timburke: first learning for me was that eventlet has some dynamic patching of stuff like getaddrinfo if you have dnspython installed -> oh crap or at least it *used* to (!?) https://github.com/eventlet/eventlet/blob/4872be77001bde7b393f8973779a15c65ce36086/eventlet/green/socket.py#L22
Th11 08 05:53:19 <clayg>	now it just bundles dnspython!?
Th11 08 05:54:56 <timburke>	clayg: you're welcome? https://github.com/eventlet/eventlet/pull/341
Th11 08 05:55:17 <clayg>	timburke: second learning for me at least is that dnspython compleatly reimplements stuff like getaddrinfo - which is like... glibc stuff
Th11 08 05:58:14 <clayg>	probably just a sign that I need to do better reading the eventlet change lots
Th11 08 05:58:18 <clayg>	*changelogs
Th11 08 06:03:12 <dfisher>	so, here's a random question that i've wondered about for awhile … why does swift use rsync to keep data nodes updated instead of something like libtorrent?
Th11 08 06:10:22 <clayg>	dfisher: i'm not really sure there's a direct comparison to be made between the rsync client/server and the torrent *library* - rsync was choosen as the basis for data movement back in ~09 because it was broadly comfortable for the devops that would be running cloud files - always assuming it would be replaced when needed
Th11 08 06:11:14 *	dfisher nods
Th11 08 06:11:18 <clayg>	dfisher: and in fact SSYNC and now REPCON (hummingbird) are going down that path
Th11 08 06:11:27 <dfisher>	cool
Th11 08 06:12:01 <dfisher>	 just figured that the idea of torrents for data would be more efficient than rsync, especially as more storage nodes are brought online
Th11 08 06:12:03 <clayg>	dfisher: FWIW no one then or now really likes the rsync *protocol* - but since swift only moves whole files i'm not sure it matters that much
Th11 08 06:12:35 <clayg>	dfisher: but both SSYNC and REPCONN are still following the same basic "push" model that the rsync replicators employ
Th11 08 06:13:38 <clayg>	dfisher: I'm not sure anyone has experiemented much to determine if an entire partition could be "pulled" from multiple replica peers in some fashsion that'd be more "efficient" along an axis where there's a need to optomise
Th11 08 06:14:40 <dfisher>	sure.  there's probably an inflection point where if you < X nodes, rsync is probably as good if not better than a torrent-esque solution (ignoring things like network speeds for now)
Th11 08 06:14:53 <dfisher>	if you have* < X nodes
Th11 08 06:15:03 <clayg>	dfisher: mostly you just have three primary nodes - the "swarm" effect (lots of hosts/nics/disks all "participating" in the filling of new capacity) mostly comes from the placement algorightm and doing a good job managing incoming streams
Th11 08 06:18:03 <clayg>	dfisher: yeah I suppose if your cluster had an asymmetric link it would become more important for all three replicas of a partition to some how "coordinate" to push subsets of the partition during a rebalance if you don't want to way for a 1:1 push of each part - but again since you're taking 100-1000-10K's of parts onto a single node - you can normally mostly overwhelm whatever resource you're aiming to overwhelm pretty easi
Th11 08 06:20:15 <clayg>	a big part of what the hummingbird replicator is trying to tackle is reducing disk reads that are only tanginially related to the transfer of data during rebalance
Th11 08 06:22:29 <abalfour1>	sorry, had to run to get eyeballs checked. so it appears the general consensus is that the ring file should be endian agnostic, correct? so I should file a bug?
Th11 08 06:24:01 <notmyname>	abalfour1: yes you should file a bug so that we can track it. but I'm not sure that the resolution is to make the ring byte-order agnostic
Th11 08 06:24:06 <clayg>	abalfour1: yeah I think it's a bug - how critical is this for you?
Th11 08 06:24:30 <abalfour1>	well, I have a horrible hack fix that I think dfisher pasted in here. So I can get it to work for me now. :)
Th11 08 06:24:48 <clayg>	abalfour1: oh that worked!?
Th11 08 06:24:56 <abalfour1>	the byteswap(), yep. 
Th11 08 06:25:01 <clayg>	oh...
Th11 08 06:25:02 <notmyname>	(eg the resolution might be "don't do that" and document and print warnings about building a ring on a different architecture than prod machines)
Th11 08 06:25:09 <abalfour1>	it's just the check to see if we need to do the byteswap() is gross.
Th11 08 06:25:52 <abalfour1>	both archiretcures are prod, btw.
Th11 08 06:26:07 <abalfour1>	we have a swift cluster with x86 and sparc nodes. 
Th11 08 06:26:51 <abalfour1>	we figured we get cute and pregenerate the ring files and have puppet plop them on all the nodes.
Th11 08 06:26:59 <abalfour1>	and it failed in humerous ways. :)
Th11 08 06:28:00 <clayg>	abalfour1: that's really awesome
Th11 08 06:28:17 <abalfour1>	thanks. 
Th11 08 06:28:21 <notmyname>	hmm...if you build the ring on each architecture with the same seed value, it would give the same effective results. but md5 checks would be different
Th11 08 06:28:28 <abalfour1>	correct
Th11 08 06:28:29 <notmyname>	(right?)
Th11 08 06:28:34 <clayg>	abalfour1: can something in sys. tell us the byte of the machine?
Th11 08 06:28:40 <abalfour1>	sys.byteorder
Th11 08 06:28:54 <abalfour1>	but, we can't tell what byteorder the file was generated with, I don't think.
Th11 08 06:28:55 <clayg>	abalfour1: I would be fine with the ring file growing a field to say which one it is is - and on load it byteswaps based on != my.byteorder
Th11 08 06:29:01 <abalfour1>	oh, cool.
Th11 08 06:29:06 <notmyname>	clayg: yeah, that's it
Th11 08 06:29:21 <clayg>	great all over but the typing
Th11 08 06:29:42 <abalfour1>	ok, I'll file the bug, code it up and submit the patch. 
Th11 08 06:29:48 <abalfour1>	thanks for looking at it!
Th11 08 06:29:48 <clayg>	abalfour1: NICE!
Th11 08 06:30:37 <notmyname>	clayg right now: https://i.imgflip.com/kzxw3.jpg
Th11 08 06:30:50 <notmyname>	abalfour1: thanks :-)
Th11 08 06:30:51 <abalfour1>	now that's just mean. :)
Th11 08 06:30:53 <dfisher>	abalfour as management is a *terrifying* thought
Th11 08 06:31:01 <clayg>	virtualbox is shit - i bet vmware player or whatever the kids use can toally make a big endian sparc cpu
Th11 08 06:31:06 <dfisher>	i've worked with him for 13 years now.  that's the last thing ANYBODY wants.
Th11 08 06:31:38 <dfisher>	clayg:  ebay a T2000 + solaris 11.3 ;)
Th11 08 06:31:39 <notmyname>	clayg: what's funny is that the same company that makes virtualbox also owns sparc ;-)
Th11 08 06:31:41 <clayg>	abalfour1: forgive notmyname - he sorta "is" upper management - he doesn't realize it's mostly insulting to the rest of us
Th11 08 06:31:46 <notmyname>	lol
Th11 08 06:31:54 <dfisher>	sorry, abalfour and I work for Sun.
Th11 08 06:31:55 <clayg>	notmyname: ;)
Th11 08 06:32:02 <clayg>	rofl
Th11 08 06:32:11 *	dfisher sobs quietly
Th11 08 06:32:14 <clayg>	this is #$%^&ing rich - open source is fun
Th11 08 06:32:15 <notmyname>	"sun"
Th11 08 06:32:28 <dfisher>	my badge says Sun.
Th11 08 06:32:33 *	dfisher continues to sob
Th11 08 06:45:06 <openstackgerrit>	Merged openstack/swift: EC: reconstruct using non-durable fragments  https://review.openstack.org/376630
Th11 08 06:45:56 <notmyname>	torgomatic: tdasilva: just remounting /tmp as XFS int he gate won't work. turns out a lot of the stuff infra does puts stuff in /tmp, so we can't blow it away
Th11 08 06:46:11 <torgomatic>	notmyname: woo
Th11 08 06:46:26 <torgomatic>	notmyname: can you get an XFS filesystem mounted somewhere else and set $TMPDIR?
Th11 08 06:46:34 <notmyname>	torgomatic: tdasilva: new plan is to mount the xfs loopback somehwere else, set that to TMPDIR and pass TMPDIR through to the tests. it should probably work
Th11 08 06:46:36 <notmyname>	yeah :-)
Th11 08 06:47:11 <torgomatic>	notmyname: the good news is that TMPDIR is in tox's internal list of environment variables to allow through, so hopefully you won't need to mess with the passenv directive at all
Th11 08 06:47:19 <notmyname>	oh cool
Th11 08 06:47:34 <notmyname>	and so you'll probably be wondering, "are we good devs and we're just using the tempfile module/methods, or did we ever hard code /tmp somehwere?"
Th11 08 06:48:46 <notmyname>	hint: it's not the good one
Th11 08 06:49:19 <mattoliverau>	lol
Th11 08 06:49:26 <notmyname>	it's probably fine, though
Th11 08 06:50:49 <pdardeau>	notmyname: if you could just go ahead and send out the memo on that /tmp report that would be great! mmkay?
Th11 08 06:51:31 <notmyname>	let me rephrase. it's not really fine, but it isn't likely to break test in the same way that not having xattrs does. tests should all work if we redefine TMPDIR
Th11 08 06:54:28 <notmyname>	but there's a bit of stuff that should change
Th11 08 06:54:46 <clayg>	notmyname: i bet timburke could come up with a creative python/sed script that will walk the testdir and rewrite and class TestFoo(unitest.TestCase) as TestFoo(unit.test.BaseTestCase) if you need that
Th11 08 07:10:40 <openstackgerrit>	Pete Zaitcev proposed openstack/swift: Patch the policy through proxy operations  https://review.openstack.org/394685
Th11 08 07:12:07 <notmyname>	nah, there's some hardcoded /tmp that should change tempfile.gettempdir()
Th11 08 07:12:18 <notmyname>	tedious but not too bad
Th11 08 07:14:11 *	jamielennox is now known as jamielennox|away
Th11 08 07:28:03 <notmyname>	clayg: last one is https://github.com/openstack/swift/blob/master/swift/common/manager.py#L86
Th11 08 07:28:17 <notmyname>	clayg: I'm not sure of impact of changing that to tempfile.gettempdir()
Th11 08 07:28:21 <notmyname>	thoughts?
Th11 08 07:30:16 <clayg>	... looking
Th11 08 07:30:31 <clayg>	oh f - idk, creiht did that
Th11 08 07:30:40 <notmyname>	oh ok
Th11 08 07:30:48 <clayg>	notmyname: bottomline I think it doesn't matter so much for xfs :)
Th11 08 07:31:08 <notmyname>	true
Th11 08 07:31:08 <clayg>	oh oh - no probably tempfile.gettempdir() is probably fine
Th11 08 07:31:38 <clayg>	oh, or not
Th11 08 07:32:08 <clayg>	apparently I don't know thow that function works - the eggcache needs to be stable between invocations of the process
Th11 08 07:32:30 <notmyname>	I'll set it to the gettempdir() location
Th11 08 07:33:47 <clayg>	gettempdir() on mac is weird - is gettempdir on freebsd weird in general?
Th11 08 07:43:40 <openstackgerrit>	John Dickinson proposed openstack/swift: Add checksum to object extended attributes  https://review.openstack.org/336323
Th11 08 07:43:48 <notmyname>	torgomatic: there's the patch with /tmp remoced ^
Th11 08 07:44:50 <notmyname>	oh, sweet. https://review.openstack.org/#/c/376630/ landed :-)
Th11 08 07:44:51 <patchbot>	patch 376630 - swift - EC: reconstruct using non-durable fragments (MERGED)
Th11 08 07:46:45 <notmyname>	I gotta go run an errand, but this is a good stopping point for today. I'll pick it up again (getting the -infra repo updated to have XFS somewhere other than /tmp) later this week
Th11 08 08:09:34 <kota_>	good morning
Th11 08 08:10:16 <kota_>	nice, patch 376630 landed.
Th11 08 08:10:17 <patchbot>	https://review.openstack.org/#/c/376630/ - swift - EC: reconstruct using non-durable fragments (MERGED)
Th11 08 08:10:29 <kota_>	will we have a new release?
Th11 08 08:13:13 <clayg>	kota_: is that all the high/critical bugs we have outstanding?
Th11 08 08:14:38 <kota_>	clayg: let me check
Th11 08 08:14:47 <openstackgerrit>	Clay Gerrard proposed openstack/swift: Make eventlet.tpool's thread count configurable in object server  https://review.openstack.org/289664
Th11 08 08:15:05 <kota_>	clayg: 12 highs and... :/
Th11 08 08:39:09 *	Disconnected (Connection timed out)
**** ENDING LOGGING AT Tue Nov  8 08:39:09 2016

**** BEGIN LOGGING AT Tue Nov  8 08:39:42 2016

Th11 08 08:39:42 *	Now talking on #openstack-swift
